Датум на билтен,СВР,ПС на внесување,Општа област,Област на криминал,Дело,Датум на случување,Време на случување,Општина,Локација,Настан,Штета,Корист
11/5/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Измама - п.т.,11/5/2014,12:00:00 PM,БИТОЛА, долниот дел на градскиот пазар,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/5/2014,9:30:00 AM,БИТОЛА,нас.Карпош,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",2.00 ден,0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/5/2014,11:50:00 AM,БИТОЛА,ул.Ѓуро Ѓаковиќ бр.51,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Загрозување на сигурноста,11/5/2014,4:00:00 AM,БИТОЛА,ул.Ружа Делчева бр. 44/12,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/5/2014,6:00:00 PM,БИТОЛА,с. Бистрица,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","315,000.00 ден",0.00 ден
11/5/2014,СВР БИТОЛА,ПС за БПС БИТОЛА,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со материјална штета,11/5/2014,4:20:00 PM,БИТОЛА,"ул.Гоце Делчев бр.16 во с.Кравари, ","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","10,000.00 ден",0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН РЕСЕН,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/5/2014,4:00:00 PM,РЕСЕН,Преспа-Дрво-Ресен,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/5/2014,СВР БИТОЛА,ПО за БПС РЕСЕН,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со телесни повреди,11/5/2014,11:10:00 AM,РЕСЕН,А-3-Макази,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","200,000.00 ден",0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Измама - п.т.,11/5/2014,3:00:00 PM,ПРИЛЕП,ул.Кочо Рацин ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","200,000.00 ден","200,000.00 ден"
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/5/2014,8:00:00 PM,ПРИЛЕП,Плоштад М.А. Ченто,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","7,000.00 ден","7,000.00 ден"
